"pid","S1","S2","S3","A0","S4_Android","S4_Gmail","S4_Google_Chrome","S4_Google_Drive","S4_Google_Maps","S4_Google_News","S4_Google_Pay","S4_Google_Play_Store","S4_Google_Search","S4_YouTube","S5","IUIPC1","IUIPC2","IUIPC3","IUIPC4","IUIPC5","IUIPC6","IUIPC7","IUIPC8","IUIPC9","IUIPC10","Q1","Q2","Q2_A","Q3","Q3_A","Q4","Q5","Q6","A1","Q7_1","Q7_2","Q7_3","Q7_A_1","Q7_A_2","Q7_A_3","Q7_B_1","Q7_B_2","Q7_B_3","Q8","Q9","Q10_recent_search","Q11_recent_search","Q12_recent_search","Q13_recent_search","Q14_recent_search","Q10_recent_youtube","Q11_recent_youtube","Q12_recent_youtube","Q13_recent_youtube","Q14_recent_youtube","Q10_recent_maps","Q11_recent_maps","Q12_recent_maps","Q13_recent_maps","Q14_recent_maps","Q10_threemonth_search","Q11_threemonth_search","Q12_threemonth_search","Q13_threemonth_search","Q14_threemonth_search","Q10_threemonth_youtube","Q11_threemonth_youtube","Q12_threemonth_youtube","Q13_threemonth_youtube","Q14_threemonth_youtube","Q10_threemonth_maps","Q11_threemonth_maps","Q12_threemonth_maps","Q13_threemonth_maps","Q14_threemonth_maps","Q10_eighteenmonth_search","Q11_eighteenmonth_search","Q12_eighteenmonth_search","Q13_eighteenmonth_search","Q14_eighteenmonth_search","Q10_eighteenmonth_youtube","Q11_eighteenmonth_youtube","Q12_eighteenmonth_youtube","Q13_eighteenmonth_youtube","Q14_eighteenmonth_youtube","Q10_eighteenmonth_maps","Q11_eighteenmonth_maps","Q12_eighteenmonth_maps","Q13_eighteenmonth_maps","Q14_eighteenmonth_maps","Q15_1","Q15_2","Q16","Q17","Q18","Q19","Q20_web","Q20_youtube","Q20_maps","Q20_A","Q21","A2","Q22","Q22_A","Q23","Q23_A","Q24","Q24_A","Q25","Q25_A","Q25_B","Q25_C","Q26","Q26_A","Q27","Q27_A","D1","D2","D3","D4","oldest_activity","activities_total"
1,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store","No","Often","Often","Always","Sometimes","Often",NA,NA,"Often","Always","Often","Very important","Agree","Somewhat agree","Strongly agree","Strongly agree","Agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Agree","Extremely aware","Somewhat concerned","Just the overall concept of a company have a fairly large database of my online activity that spans basically all my devices; if re-contextualized I imagine there are times where my activity comes across as just straight up strange or maybe even suspicious. Especially given that there are times when my friends go on my devices and intentionally search super weird things.  ","Often","So the other day actually, I was trying to remember this camp ground I had stayed at a couple years ago in another state. Within two minutes, I not only found the camp ground, but also the entirety of the trip mapped out on google maps, and even photos I had taken on my phone on the side bar in timeline order. ","Frankly no, I can barely keep on top of managing the files on my hard drive. ","Well, Sheesssshhh Lol; I mean, if I were to put thought into it, none of its surprising really, & I have seen this page before, but the one thing that did sort of surprise me was seeing my google home activity also included. Shouldnt surprise me, but its wild to think that within just a 15 minute span, google knows I ordered pizza, left to pick it up, came home & then asked it to turn on my air conditioner, & then started playing jackbox games with friends.","Yes","Round","Advertising","Assembling a data profile","Helping users organize their information & make their life a little easier","Slightly beneficial","Not at all beneficial","Extremely beneficial","Slightly harmful","Somewhat harmful","Not at all harmful","Its just the potential of it somehow getting used in an unexpected way. ""Unforeseen consequences"" kind of a thing. ","Agree","Yes","Yes","Agree","Improves my experience","After 3 months","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Unsure","Yes","Neither agree nor disagree","Slightly improves my experience","I wouldn't delete","Yes","Yes","Agree","Slightly improves my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","I wouldn't delete","No","Yes","Agree","Slightly improves my experience","After 18 months","Unsure","Yes","Agree","Slightly improves my experience","I wouldn't delete","No","Yes","Agree","Slightly improves my experience","I wouldn't delete","No","Yes","Agree","Slightly improves my experience","After 18 months","Conflicted ","Average",0,"Appropriate","Absolutely appropriate","Appropriate","Delete after 18 months","Never delete","Never delete","Its strange, I'm not even sure if how I feel makes sense. A lot of things I search on google are often very ephemeral, so i'll use it as a spell checker, or a quick definition. Whereas things I search & watch on youtube I have stronger memories of, & appreciate that I can look back on my viewed history & find things I couldnt recall the name of.  So seeing some of my previous search results that I couldnt quite recall but could tell it was a throw away search be somewhat 'permanently' attached to my profile just feels... strange. Map activity I feel similar to how I feel about youtube; stronger memories since I was physically there so more comfortable with knowing that data is saved & easier to recall if needed. ","Google still collects activity data about me, but does not associate it with my account","Red","Agree","Because from what I understand, its showing you literally everything. I think most people (myself somewhat included) dont quite understand just how far reaching & wide google services is; so the layout of a timeline of everything included in your dataset is fairly eye opening. ","Unsure","I would probably change the length of time google searches are saved. ","Yes","Just google searches specifically, cause again, a lot of it is sorta disposable to me, & I fear the potential of things I didnt think too seriously on getting re-contextualized to make me appear to be something I'm not.","No","","Frankly my online habits have been sorta ingrained within me. The timing of this survey for me personally is kind of funny because I've been putting more thought into how reliant I am with google services & how slightly more uncomfortable I've been getting with it. That said though, I guess convenience always wins & learning new ways to do things is harder than expected, especially when mostve the time I'm using my devices, I just want to get whatever im trying to do done, not spend time learning new ways to do things. ","","Somewhat concerned","Not to get too repetitive, but the concept of my data/information getting re-contextualized to make me appear a different way. Probably silly example, but the movie/musical Chicago really kind of opened my eyes to how often court cases are less about hard facts, & more about persuasion & perception. ","Often","Youtube recommendations mostly, though I have felt like the quality of my google search results arent as good as they once were. ","Man","25 - 34","High school graduate, diploma, or equivalent (e.g., GED, Abitur, baccalaureat)","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2007-04-20,56095
2,"Yes","More than five years","Gmail, Android, Google Chrome, Google Maps, Google Drive, Google News, Google Pay, Google Play Store, Google Search, YouTube","No","Always","Always","Sometimes","Always","Always","Always","Sometimes","Always","Always","Always","Important","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Strongly agree","Strongly agree","Extremely aware","Somewhat concerned","It is a large amount of data but i can see what it is by logging into my google account","Often","Because all my Google services are tied in together I get very relevant results across all services","I go into my Google account every couple of weeks and delete the things i do not want kept","I am very familiar with this page I come here every few weeks to delete items","Yes","Round","Machine learning","Targeted advertising","Better results for the user","Moderately beneficial","Slightly beneficial","Extremely beneficial","Not at all harmful","Not at all harmful","Not at all harmful","Using my data to create a profile on me","Agree","Yes","Yes","Agree","Improves my experience","After 3 months","Yes","Yes","Disagree","Does not change my experience","After 3 months","Yes","Yes","Disagree","Does not change my experience","After 3 months","Yes","Yes","Agree","Improves my experience","After 3 months","Yes","Yes","Agree","Improves my experience","After 3 months","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","Yes","Agree","Slightly improves my experience","After 3 months","No","Yes","Neither agree nor disagree","Does not change my experience","After 3 months","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a week","A bit concerned about just how much and how far the information goes back","Very overwhelmed",10,"Absolutely appropriate","Appropriate","Slightly appropriate","Delete after 18 months","Delete after 3 months","Delete after 3 months","My preferences On YouTube and places on maps change frequently so I do not need those stored for long","Google still collects activity data about me, but does not associate it with my account","Red","Strongly agree","I can deep dive into all the information that is collected about me and better understand how Google works","Yes","I would change how long my YouTube searches and my maps searches are stored","Yes","I would delete quite a few stored map locations","No","","The services work very well for the way I use them. I have the power to change what is collected, nothing else needs to be done","","Somewhat concerned","It's not so much the data by the length of time that the deed is held for by default","Often","I getting very relevant searches and results across all Google services daily","Man","35 - 44","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2011-10-23,32011
3,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Maps, Android, Google Search, YouTube, Google Play Store, Google News","No","Always","Often","Always","Sometimes","Often","Rarely",NA,"Often","Always","Always","Very important","Agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Agree","Strongly agree","Slightly aware","Slightly concerned","I don't know how it will be used","Rarely","All I get is ads really","I do not but maybe I should","I thought it was interesting, at first I thought it was wrong, but then I realized some searches were done on my phone.","No","Round","see how to advertise to me","see what targeted ads I would like","get a general picture of me","Extremely beneficial","Extremely beneficial","Extremely beneficial","Slightly harmful","Slightly harmful","Slightly harmful","Not certain it is totally secure","Neither agree nor disagree","Yes","Unsure","Neither agree nor disagree","Does not change my experience","After a few hours","Yes","Unsure","Neither agree nor disagree","Slightly improves my experience","After a day","No","Yes","Disagree","Does not change my experience","After a few hours","Yes","No","Neither agree nor disagree","Does not change my experience","After a few hours","Yes","Yes","Strongly disagree","Slightly harms my experience","After a few hours","Unsure","Yes","Strongly disagree","Does not change my experience","After a few hours","Yes","Unsure","Disagree","Slightly harms my experience","Immediately, I do not want this data to be collected","No","No","Disagree","Does not change my experience","After a few hours","No","No","Disagree","Does not change my experience","After a few hours","intrusive","interested",0,"Slightly inappropriate","Slightly inappropriate","Slightly inappropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","I don't think stuff from a long time ago needs to be stored","Google still collects activity data about me, but does not associate it with my account","Red","Agree","They seem to indiscriminately collect searches.","Unsure","try to make it a bit more private","Unsure","personal ones","No","","I just don't want to.","","Slightly concerned","It is concerning but not alarming.","Sometimes","I think sometimes I hear about products of interest from Google.","Woman","55 - 64","Master's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2008-11-11,0
4,"Yes","More than five years","Android, Google Chrome, Google Drive, Google Maps, Google Search, YouTube, Google Play Store, Google News, Gmail","No","Always","Always","Always","Often","Often","Often",NA,"Always","Always","Always","Very important","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Agree","Strongly agree","Moderately aware","Extremely concerned","Privacy issues, hacking, identity theft, etc.","Sometimes","They target ads and personalize certain things.","none at this time","Shocked at how much info is there, also some of it was my husband's that should of been on his account and not mine.","No","Round","get a profile on you to sell to advertisers","getting patterns of the general public","to see what is popular when the consolidate many types of people into categories","Slightly beneficial","Slightly beneficial","Slightly beneficial","Moderately harmful","Somewhat harmful","Somewhat harmful","It might get into the wrong hands.","Agree","Yes","Yes","Disagree","Does not change my experience","After a week","No","Yes","Disagree","Does not change my experience","After 3 months","Unsure","Yes","Neither agree nor disagree","Slightly improves my experience","After a month","Yes","Yes","Strongly disagree","Does not change my experience","After a week","No","No","Strongly disagree","Slightly harms my experience","After a month","Yes","Yes","Strongly disagree","Does not change my experience","After a few hours","Yes","Yes","Strongly disagree","Does not change my experience","After a week","No","No","Strongly disagree","Does not change my experience","After a week","Yes","No","Strongly disagree","Does not change my experience","After a week","Surprised because a lot of these were items that were embedded in articles I was reading, that I did not directly go to.","Violated because they have an inaccurate view of me as well as my personal details.",1,"Appropriate","Slightly appropriate","Inappropriate","Delete after 3 months","Delete after 3 months","Delete immediately","Usually they have no basis on what I will do in the future.  Also, I don't want people knowing much personal info on me because of privacy concerns.","Google still collects activity data about me, but does not associate it with my account","Red","Strongly agree","You can see your history, although they probably have a lot more details than what is listed.","Unsure","length of collection","Unsure","some searches or youtube views","No","","It is free and I use it for everything all day so I would not want to inhibit my ability to use it.","","Extremely concerned","Privacy issues, security reasons, hacking, could get in the wrong hands, etc.","Sometimes","Better search results, etc.  News articles and ads are more personalized.","Woman","55 - 64","Associate degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2013-10-15,29393
5,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, Google News, Google Play Store, Google Search, YouTube","No","Always","Always","Always","Always","Always","Sometimes",NA,"Sometimes","Always","Often","Very important","Somewhat agree","Somewhat agree","Agree","Agree","Agree","Somewhat disagree","Somewhat agree","Strongly agree","Strongly agree","Agree","Somewhat aware","Somewhat concerned","I use several Google services, that I do not pay for. I understand that if the product/service is free, then I am the product.","Sometimes","location data can help with finding stores.","sometimes I will use incognito mode. ","I was somewhat surprised by the amount of data I saw.","Yes","Round","targeted advertising","sell analytics to companies","customize new products","Slightly beneficial","Slightly beneficial","Moderately beneficial","Slightly harmful","Slightly harmful","Not at all harmful","my concern is falling into the ""wrong"" hands.","Agree","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a week","Unsure","Yes","Agree","Slightly improves my experience","After a week","Yes","Yes","Neither agree nor disagree","Slightly improves my experience","I wouldn't delete","No","Yes","Neither agree nor disagree","Does not change my experience","After a week","Unsure","Yes","Neither agree nor disagree","Slightly improves my experience","After a week","No","Yes","Neither agree nor disagree","Slightly improves my experience","I wouldn't delete","No","No","Disagree","Does not change my experience","After a week","Unsure","Yes","Agree","Slightly improves my experience","After a week","No","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete","shocking that I search I did for a Hall & Oates song from 2016 was still out there.","Sort of concerned.",2,"Slightly appropriate","Slightly appropriate","Slightly appropriate","Delete after 3 months","Delete after 3 months","Never delete","I think 3 months is a fair amount of time to leave the data out there.","Google no longer collects activity data about me","Red","Agree","It shows the data they are collecting from my search and activity history.","Unsure","maybe deleting search history.","Unsure","maybe deleting the search history. ","Unsure","","","I am quite pleased with what Google offers. ","Somewhat concerned","All that data could fall into the ""wrong"" hands.","Sometimes","Google location services help in shopping. Google Maps help in navigation","Man","45 - 54","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2013-08-22,29055
6,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Play Store, Google Pay, Google News, Google Maps, Google Search, YouTube","No","Always","Always","Always","Often","Often","Always","Often","Always","Always","Always","Very important","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Somewhat aware","Somewhat concerned","There are times when I am working that I have to look something up on Google which has absolutely nothing to do with me personally. I don't like to have everything all mixed up together and I know that I can have separate profiles but even then the information still gets synced together. ","Rarely","Most of my Google activity on a personal basis is quite predictive. Everything else is related to various work activities and I have no further use for. ","I tried to not add anything related to my personally identifiable information anywhere on the Internet. I have used pseudo-names that I know who it is, but nobody on the Internet knows who the person really is.","This actually has a lot of good information available. It may help when I am trying to find a work-related webpage that I would not normally be able to find my history. ","Yes","Round","Advertisement matching ","Statistical data harvesting ","Finding related pages which may enhance a current search ","Somewhat beneficial","Slightly beneficial","Moderately beneficial","Somewhat harmful","Slightly harmful","Not at all harmful","Just the usual privacy concerns about whether there is any way anyone can get to my private information, use some sort of Trojan to get through into my accounts. Selling my personal information to people that are not related to the site that I was actually visiting. ","Agree","Yes","Yes","Agree","Does not change my experience","I wouldn't delete","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","Immediately, I do not want this data to be collected","Yes","Yes","Neither agree nor disagree","Does not change my experience","Immediately, I do not want this data to be collected","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","Yes","Neither agree nor disagree","Does not change my experience","Immediately, I do not want this data to be collected","Yes","Yes","Neither agree nor disagree","Does not change my experience","Immediately, I do not want this data to be collected","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Disagree","Does not change my experience","Immediately, I do not want this data to be collected","Google collects an extraordinary amount of information. It is somewhat amazing. ","I wish there was a way that I could use some sort of filtering to control what is saved or not saved. ",0,"Neutral","Appropriate","Slightly appropriate","No change","No change","No change","I am not ready to make this sort of decision on deleting information stored at this time. I would rather go through and search for specifics and then make an educated deletion. ","Google no longer collects activity data about me","Red","Strongly agree","Because it literally shows me exactly where I've been, what I've done, and why for the most part.   ","Unsure","I am uncertain at this time what I would change. I know that anything related to activities related to my work for the most part is not something that I would retain.","Unsure","Work related items, possibly. ","Yes","I am definitely going to be turning off history for YouTube while working. ","","","Moderately concerned","There is always a chance to personally identifiable information can somehow be leaked to the Internet at large. ","Often","Because I use Google search, YouTube, and other Google services on a daily basis. ","Woman","65 or older","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2010-11-29,4931
7,"Yes","More than five years","Gmail, Android, Google News, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store","No","Always","Always","Always","Sometimes","Sometimes","Often",NA,"Sometimes","Often","Often","Very important","Agree","Agree","Somewhat agree","Agree","Agree","Somewhat agree","Somewhat disagree","Agree","Somewhat agree","Agree","Moderately aware","Somewhat concerned","its my main browser","Sometimes","its easier to work with","not really i dont use credit cards","i dont like how much is stored","No","Round","to ease use","to know what i do","to know where i went","Moderately beneficial","Not at all beneficial","Slightly beneficial","Not at all harmful","Slightly harmful","Slightly harmful","i dont like it but im used to it, tracking.","Agree","Yes","Yes","Disagree","Slightly harms my experience","After a month","Yes","Yes","Agree","Slightly improves my experience","After 3 months","Yes","Yes","Agree","Slightly improves my experience","After a month","No","No","Strongly disagree","Does not change my experience","After a day","Yes","No","Neither agree nor disagree","Slightly improves my experience","After a week","Yes","Yes","Agree","Does not change my experience","After a month","No","No","Disagree","Does not change my experience","After a month","No","No","Disagree","Slightly harms my experience","After a month","No","No","Neither agree nor disagree","Does not change my experience","After a month","it remembers more than i do","its kind of invasive",5,"Slightly appropriate","Slightly appropriate","Slightly appropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","i am used to a month, 3 months might be ok","Google still collects activity data about me, but does not associate it with my account","Red","Agree","its a little informative","No","i would be a little more careful about what i say","Unsure","i dont like video information, music information, and location information","No","","ive always assumed this was collected regardless","","Somewhat concerned","i think it may be not needed","Sometimes","i use google for a lot so its useful","Man","35 - 44","Bachelor's degree","I have an education in, or work in, the field of computer science, computer engineering or IT.",2006-12-12,54325
8,"Yes","More than five years","Android, Gmail, Google Chrome, Google Maps, Google News, Google Play Store, Google Search, YouTube","No","Always","Always","Always",NA,"Often","Often",NA,"Sometimes","Always","Often","Very important","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Strongly agree","Agree","Agree","Moderately aware","Slightly concerned","I work as a rater for a large search engine. My NDA forbids me naming the company I am working for but it is a large search engine. I have agreed not only to do regular work for them but to let them examine my personal usage of various products but this was entirely my choice. They explained how they would guard my privacy and that I could opt out at any time I wish. Because they were very clear about what they would collect, how they would use it, and they I could change my mind, I feel comfortable doing this. From the other work I do for this search engine I know that evaluating what users do in the real world really does improve search products so I feel I am also doing something beneficial. ","Sometimes","I work as a rater for a large search engine which I cannot name due to my NDA. But I know from that work that seeing what users actually do, real queries, improves online services. It's easier for you to find what you want online because search engines watch (with permission) what real users do, how they phrase queries. There are many different types of search but all of them are improved by this type of information. ","My strategies for limiting information collection are all about watching what retailers collect and avoiding tracking cookies when I can. I am not really concerned about Google because I trust the company. ","It surprised me that there were headers added for things that were related. For instance, there was a Bread header (or something like that) for 2 searching I made looking for nutrition statements on 2 different types of bread. I didn't see anything very surprising but the page as better organized that I would have thought. And the left  has side has some thing I could explore if I wanted to delete anything - that's nice. I usually use Chrome history when I want to find a page I've visited before but this activity page looks like it could be helpful as well. ","No","Round","To improve Google's products, search, image search, etc. ","To find things like most visited sites and most used services. ","To give me ads relevant to my interests as shown by my search history. ","Extremely beneficial","Somewhat beneficial","Moderately beneficial","Not at all harmful","Not at all harmful","Not at all harmful","I have no other concerns. I really think Google is an OK company and I'm not worried about them collecting information. ","Strongly agree","Yes","Yes","Agree","Improves my experience","After 18 months","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","No","Yes","Agree","Improves my experience","After 18 months","Yes","Yes","Neither agree nor disagree","Improves my experience","After 18 months","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","No","Yes","Agree","Improves my experience","After 18 months","No","Yes","Agree","Improves my experience","After 18 months","Yes","Yes","Strongly agree","Greatly improves my experience","I wouldn't delete","No","Yes","Agree","Improves my experience","After 18 months","interested","pleased",0,"Absolutely appropriate","Absolutely appropriate","Absolutely appropriate","Delete after 18 months","Never delete","Delete after 18 months","I really love YouTube History and the recommendations I get based on that history. It's easy for me to find something I enjoyed watching on YouTube even if I can't remember exactly what it was by checking my history. And the recommendations on YouTube's homepage based on my history are often very good. I just want to keep YouTube history, its great. I don't really care one way or the other about web activities or Maps but it seems like 18 months is long enough that I would never want to look back any farther to find something and also lets them do whatever they need too for personalization so I think for those 2, 18 months is a good choice. ","Google no longer collects activity data about me","Red","Agree","I don't remember exactly what it said but I think there is some text on the page about what they collect and I can't see any reason why they would hide anything from me. I also have a generally good impression of Google which is the real reason I am not concerned. ","No","I'm not going to change anything. ","No","I might delete searches, especially in Maps which were not made by me personally as these are probably messing up my personalized experience. But I probably won't do that because I think it would take too long to look through my activity to be worth doing. ","No","","I'm happy with my experience and I don't feel any distrust toward Google. Maybe I just enjoy shopping too much, but I really don't mind that my ads seem to be personalized and I often actually enjoy it - especially with shoes! I'd rather see ads for things I really shop for than just random stuff. I especially love they way my search history is used on YouTube. ","","Not at all concerned","They aren't collecting anything I didn't give permission for and I trust the company. ","Often","I benefit most often from YouTube history because I enjoy the recommendations based on that. But I also think that when I shop for something on Lands End or Taos shoes and then I see ads for the products I looked at, that's a good thing. I have to mull it over a lot before I make a purchase so I don't mind seeing those ads. And those ads are way better than seeing random ads for things I would never want which is what I would see if the ads weren't based on  my history. ","Woman","55 - 64","Master's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2012-09-13,38649
9,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store, Google News","No","Often","Often","Often","Sometimes","Sometimes","Sometimes",NA,"Sometimes","Often","Often","Important","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Moderately aware","Moderately concerned","Google has potentially decades worth of data points about me currently. By looking at my information in aggregate with the millions of other users they probably can infer things about me and my life that are never directly recorded, or even draw conclusions that I am unaware of. This is a tremendous amount of power to wield.","Sometimes","The suggested articles and other things I may be interested in are relevant fairly often.","Nothing that I think is actually having a notable effect. I go over my account history periodically and use other search engines some of the time, but between all the different pieces of the google ecosystem I'm interacting with these things are a drop in the bucket.","I've seen this and used it before.","Yes","Round","To sell to third parties.","To customize advertisements to sell me products.","To analyze in the aggregate to draw population wide conclusions.","Not at all beneficial","Slightly beneficial","Not at all beneficial","Extremely harmful","Somewhat harmful","Moderately harmful","If someone wanted to use Google's data to make a point about someone, really any point about a person's life, it could likely be done by sifting through the huge amount of data they have and cherry picking data that supports the conclusion they want to draw. So far I'm not aware of this being done, but the potential is there.","Neither agree nor disagree","Yes","Yes","Disagree","Does not change my experience","After 3 months",NA,NA,NA,NA,NA,"Yes","Yes","Disagree","Does not change my experience","After 3 months","Yes","Yes","Disagree","Does not change my experience","After 3 months",NA,NA,NA,NA,NA,"Yes","Yes","Strongly disagree","Does not change my experience","After 3 months","Yes","Yes","Disagree","Does not change my experience","After 3 months",NA,NA,NA,NA,NA,"No","Yes","Disagree","Does not change my experience","After 3 months","Annoyed","Hopeless",10,"Slightly inappropriate","Slightly inappropriate","Inappropriate","Delete after 3 months","No change","Delete after 3 months","I would actually prefer that this kind of information be stored locally on my device and never sent to the google cloud.","Google still collects activity data about me, but does not associate it with my account","Red","Neither agree nor disagree","I think the implications are much larger than whether or not google stores the fact that I navigated to a local store a few weeks ago.","No","I've already used this page and configured it the way I want.","Unsure","I don't  know that changing any of these settings really matters in the long run, so I don't know.","Unsure","","","I occasionally think about removing myself completely from the google ecosystem as half measures seem fairly meaningless.","Moderately concerned","I've explained this in previous parts of this survey.","Sometimes","The customized articles and other items of interest are relevant.","Man","35 - 44","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2016-01-24,24762
10,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Maps, Google Search, YouTube","No",NA,"Always","Always","Often","Often",NA,NA,NA,"Always","Often","Very important","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat aware","Somewhat concerned","I think mostly it's not too much of an issue for Google to know what I have interests in, in order to serve better ads to me. If I have to watch ads, I feel like I enjoy it more if they're of interest. However, I don't like the idea that someone else other than me is profiting off my information.","Sometimes","Sometimes because there are times where I get some ads that serve me up something I would like to purchase.","Not really...","That was a lot of information, but mostly just what would be in my history anyway.","No","Round","To show me relevant ads","To target my google searches with more accurate results","Internal analytics for search rankings","Somewhat beneficial","Extremely beneficial","Somewhat beneficial","Not at all harmful","Not at all harmful","Not at all harmful","Not really. It is a lot of information and could use be used in ways I don't consider, but in the end personally I don't have much to hide, so...","Agree","Yes","Yes","Neither agree nor disagree","Does not change my experience","After 3 months","Yes","Yes","Neither agree nor disagree","Does not change my experience","After 3 months","No","Yes","Neither agree nor disagree","Does not change my experience","After 3 months","No","No","Neither agree nor disagree","Does not change my experience","After 3 months","Yes","Yes","Neither agree nor disagree","Does not change my experience","After 3 months","No","No","Neither agree nor disagree","Does not change my experience","After 3 months","Yes","No","Neither agree nor disagree","Does not change my experience","After 3 months","Unsure","No","Disagree","Does not change my experience","After 3 months","Yes","No","Neither agree nor disagree","Does not change my experience","After 3 months","Amusement","Confusion",5,"Appropriate","Appropriate","Slightly appropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","I like three months because it'll still have relevant recent information, but not keep things forever","Google still collects activity data about me, but does not associate it with my account","Red","Strongly agree","I can see everything that's logged in one place.","Yes","How long data is stored.","Unsure","Probably anything I wouldn't want someone to find if I kicked off tomorrow. ","Unsure","","","I'm not sure how much I would change other than a setting or two.","Somewhat concerned","It worries be a little bit for big overarching privacy reasons, but in the end my privacy was gone long ago on the internet.","Sometimes","Sometimes it shows me relevant advertising.","Woman","35 - 44","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2010-10-05,32596
